,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
498,bad purchase,0,2,13,2,12
499,well im satisfied,1,3,18,3,17
500,the bose noise cancelling is amazing which is very important for a nyc commuter,1,14,81,14,79
501,this battery is an excellent bargain,1,6,37,6,36
502,defective crap,0,2,15,2,14
503,i would have given no star if i was able,0,10,41,10,40
504,i wear glasses and it fits fine with them,1,9,42,9,41
505,the sound quality for the device is unacceptableunless you are in a really quiet area you almost hear nothing,0,19,112,19,109
506,i would not recommend this item to anyone,0,8,42,8,41
507,the holster that arrived did not match the photo in the ad,0,12,59,12,58
508,greatno problems at all,1,4,28,4,23
509,as an earlier review noted plug in this charger and nothing happens,0,12,69,12,67
510,this frog phone charm is adorable and very eye catching,1,10,56,10,55
511,you never know if you pushed it hard enough or the right number of times for the function you want or not,0,22,106,22,105
512,the sound is clear and the people i talk to on it are amazed at the quality too,1,18,80,18,79
513,i got the aluminum case for my new palm vx and it worked really wellit has protected my handheld perfectly so far,1,22,116,22,113
514,very good product well made,1,5,29,5,27
515,mobile phone tools are a must have,1,7,35,7,34
516,i am very impressed with the job that motorola did on the sturdiness of this phone,1,16,83,16,82
517,i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,1,25,145,25,142
518,the phone is sturdy and waterproof,1,6,35,6,34
519,i am not impressed with this and i would not recommend this item to anyone,0,15,75,15,74
520,my only complaint is the standard sound volume is a little low even when turned up to 5of 5,0,19,93,19,91
521,thanks again to amazon for having the things i need for a good price,1,14,69,14,68
522,i ended up sliding it on the edge of my pants or back pockets instead,1,15,70,15,69
523,i had to go to a store and bought a new nokia phone which is working great,1,17,75,17,74
524,works great,1,2,13,2,11
525,really ugly,0,2,12,2,11
526,horrible had to switch 3 times,0,6,32,6,30
527,the noise shield is incrediable,1,5,32,5,31
528,no real improvement,0,3,20,3,19
529,razr battery  good buy,1,5,24,4,22
530,keep up the good work amazon,1,6,30,6,28
531,they refuse to refund or replace,0,6,33,6,32
532,unfortunately its easy to accidentally activate them with the gentletouch buttons if you accidentally touch the phone to your face while listening,0,22,149,22,146
533,so i basically threw my money out the window for nothing,0,11,57,11,56
534,great case and price,1,4,21,4,20
535,all it took was one drop from about 6 inches above the kitchen counter and it was crackedi am not impressed and i am not laughing,0,26,131,26,129
536,bluetooth range is good  a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,1,26,128,25,124
537,small sleek impressive looking practical setup with ample storage in place,1,11,78,11,74
538,the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,1,18,103,18,102
539,none of the new ones have ever quite worked properly,0,10,53,10,52
540,i am glad i purchased it,1,6,25,6,24
541,ive missed numerous calls because of this reason,0,8,50,8,48
542,perhaps my phone is defective but people cannot hear me when i use this,0,14,73,14,71
543,dont buy this product,0,4,23,4,21
544,sucked most of the stuff does not work with my phone,0,11,54,11,52
545,no shifting no bubbling no peeling not even a scratch nothingi couldnt be more happier with my new one for the droid,1,22,123,22,116
546,worst software ever used if i could give this zero stars i would,0,13,69,13,64
547,trying to make a call on these is an exercise in frustration,0,12,61,12,60
548,the case is a flimsy piece of plastic and has no front or side protection whatsoever,0,16,85,16,84
549,i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,1,21,111,21,107
550,i love the camera its really pretty good quality,1,9,51,9,48
551,thank you for such great service,1,6,33,6,32
552,its a total package,1,4,20,4,19
553,the seller is very understanding and patient i would definitely buy from them again,1,14,85,14,83
554,i give wirefly 1 stari will contact cingularatt and inform them of this practice,0,14,85,14,80
555,its aggravating,0,2,17,2,15
556,great product for the price,1,5,29,5,27
557,i have purchased these for both family and friends and all enjoy their clarity and ease of use,1,18,95,18,94
558,virgin wireless rocks and so does this cheap little phone,1,10,58,10,57
559,none of it works just dont buy it,0,8,36,8,33
560,muddy low quality sound and the casing around the wires insert was poorly super glued and slid off,0,18,102,18,98
561,please dont waste your money,0,5,29,5,28
562,all in all im quite satisfied with this purchase,1,9,51,9,48
563,if you are looking for a good quality motorola headset keep looking this isnt it,0,15,83,15,80
564,yet plantronincs continues to use the same flawed charger design,0,10,65,10,64
565,disapointing results,0,2,21,2,20
566,cumbersome design,0,2,18,2,17
567,great it was new packaged nice works good no problems and it came in less time then i expected,1,19,99,19,94
568,great product,1,2,14,2,13
569,its a piece of crap,0,5,21,5,19
570,my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra which i hated,0,24,145,24,135
571,this fixes all the problems,1,5,28,5,27
572,worst ever,0,2,11,2,10
573,i am very happy,1,4,15,4,15
574,ive had no trouble accessing the internet downloading ringtones or performing any of the functions,1,15,101,15,98
575,i can barely ever hear on it and am constantly saying what,0,12,61,12,58
576,the battery life is highly unacceptable,0,6,40,6,39
577,that company is a joke,0,5,23,5,22
578,it does everything the description said it would,1,8,49,8,48
579,due to this happening on every call i was forced to stop using this headset,0,15,76,15,75
580,it works great with a car charger especially if you cannot plug in two adapters at the same time,1,19,98,19,96
581,verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard reset wiping out all my data,0,28,144,28,140
582,voice quality signal strength dropped calls,0,6,46,6,43
583,it plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however its not,1,26,137,26,132
584,better than expected,1,3,21,3,20
585,it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,0,23,132,23,129
586,battery is holding up well,1,5,27,5,26
587,also difficult to put onid recommend avoiding this product,0,9,61,9,58
588,i only used it two days and it wasnt always easy to hear with,0,14,64,14,61
589,i got the car charger and not even after a week the charger was brokeni went to plug it in and it started smoking,0,24,117,24,113
590,sprint  terrible customer service,0,5,35,4,33
591,linked to my phone without effort,1,6,34,6,33
592,they are so cool,1,4,17,4,16
593,easy to use,1,3,12,3,11
594,better than new,1,3,16,3,15
595,what possesed me to get this junk i have no idea,0,11,52,11,48
596,piece of trash,0,3,15,3,14
597,a pretty good product,1,4,22,4,21
598,this is a great phone,1,5,23,5,21
599,for the price on amazon it is an excellent product which i would highly recommend,1,15,84,15,81
600,their research and development division obviously knows what theyre doing,1,10,75,10,73
601,the real killer is the volume and of course it breaking,0,11,57,11,55
602,those phones are working just fine now,1,7,39,7,38
603,i am more than happy with this product,1,8,39,8,38
604,poor construction,0,2,18,2,17
605,this is infuriating,0,3,20,3,19
606,overall i would recommend this phone over the new walkman,1,10,59,10,57
607,sprint charges for this service,0,5,32,5,31
608,it is cheap and it feel and look just as cheap,0,11,48,11,46
609,it fits my ear well and is comfortable on,1,9,42,9,41
610,it doesnt work in europe or asia,0,7,34,7,32
611,clipping this to your belt will deffinitely make you feel like 50 cents upandcoming,1,14,87,14,83
612,i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear,1,27,134,27,133
613,i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price,1,23,113,23,112
614,the worst phone from samsungcrap this crappy samsung e715 is the worst i have ever seeen,0,16,99,16,88
615,the charger worked for about a week and then completely stopped charging my phone,0,14,82,14,81
616,poor product,0,2,13,2,12
617,however i needed some better instructions,0,6,42,6,41
618,you need two hands to operate the screenthis software interface is decade old and cannot compete with new software designs,0,20,124,20,122
619,worked very well paired with a treo 700w and as a skype headset on my pc using a usb bluetooth transceiver,1,21,109,21,106
620,steer clear of this product and go with the genuine palm replacementr pens which come in a threepack,0,18,103,18,100
621,do not buy do not buyit sucks,0,7,29,7,29
622,this is a great product sure beats using your fingers,1,10,60,10,53
623,plus i seriously do not believe it is worth its steep price point,0,13,67,13,65
624,all the other cases ive tried normally fall apart after a few months but this one seems to be in for the long haul,1,24,116,24,114
625,very dissapointing performance,0,3,31,3,30
626,dont make the same mistake that i did and please dont buy this phone,0,14,71,14,68
627,this phone might well be the worst ive ever had in any brand,0,13,62,13,60
628,case was more or less an extra that i originally put on but later discarded because it scratched my ear,0,20,104,20,103
629,i recommend igo to anyone with different brand cell phonesmp3 players in the family,1,14,85,14,83
630,dont bother  go to the store,0,7,31,6,28
